message,codeword
0000000,00000000000000
0000001,00000000000011
0000010,00000000001111
0000011,00000000001100
0000100,00000000111110
0000101,00000000111101
0000110,00000000110001
0000111,00000000110010
0001000,00000011111011
0001001,00000011111000
0001010,00000011110100
0001011,00000011110111
0001100,00000011000101
0001101,00000011000110
0001110,00000011001010
0001111,00000011001001
0010000,00001111101100
0010001,00001111101111
0010010,00001111100011
0010011,00001111100000
0010100,00001111010010
0010101,00001111010001
0010110,00001111011101
0010111,00001111011110
0011000,00001100010111
0011001,00001100010100
0011010,00001100011000
0011011,00001100011011
0011100,00001100101001
0011101,00001100101010
0011110,00001100100110
0011111,00001100100101
0100000,00111110110000
0100001,00111110110011
0100010,00111110111111
0100011,00111110111100
0100100,00111110001110
0100101,00111110001101
0100110,00111110000001
0100111,00111110000010
0101000,00111101001011
0101001,00111101001000
0101010,00111101000100
0101011,00111101000111
0101100,00111101110101
0101101,00111101110110
0101110,00111101111010
0101111,00111101111001
0110000,00110001011100
0110001,00110001011111
0110010,00110001010011
0110011,00110001010000
0110100,00110001100010
0110101,00110001100001
0110110,00110001101101
0110111,00110001101110
0111000,00110010100111
0111001,00110010100100
0111010,00110010101000
0111011,00110010101011
0111100,00110010011001
0111101,00110010011010
0111110,00110010010110
0111111,00110010010101
1000000,11111011000000
1000001,11111011000011
1000010,11111011001111
1000011,11111011001100
1000100,11111011111110
1000101,11111011111101
1000110,11111011110001
1000111,11111011110010
1001000,11111000111011
1001001,11111000111000
1001010,11111000110100
1001011,11111000110111
1001100,11111000000101
1001101,11111000000110
1001110,11111000001010
1001111,11111000001001
1010000,11110100101100
1010001,11110100101111
1010010,11110100100011
1010011,11110100100000
1010100,11110100010010
1010101,11110100010001
1010110,11110100011101
1010111,11110100011110
1011000,11110111010111
1011001,11110111010100
1011010,11110111011000
1011011,11110111011011
1011100,11110111101001
1011101,11110111101010
1011110,11110111100110
1011111,11110111100101
1100000,11000101110000
1100001,11000101110011
1100010,11000101111111
1100011,11000101111100
1100100,11000101001110
1100101,11000101001101
1100110,11000101000001
1100111,11000101000010
1101000,11000110001011
1101001,11000110001000
1101010,11000110000100
1101011,11000110000111
1101100,11000110110101
1101101,11000110110110
1101110,11000110111010
1101111,11000110111001
1110000,11001010011100
1110001,11001010011111
1110010,11001010010011
1110011,11001010010000
1110100,11001010100010
1110101,11001010100001
1110110,11001010101101
1110111,11001010101110
1111000,11001001100111
1111001,11001001100100
1111010,11001001101000
1111011,11001001101011
1111100,11001001011001
1111101,11001001011010
1111110,11001001010110
1111111,11001001010101
