msg_bits,message,received,decoded,pass
40,0000000000000000000000000000000000000000,00000000000000000000000000000000000000000010000000000000000000000000000000000000000000,0000000000000000000000000000000000000000,1
40,0101001010101001110011111010110100000010,00111101001000110100010001001000001010010000100101101000011101100010100000001111101100,0101001010101001110011111010110100000010,1
40,1111010101111000110101100100101110101011,11000001101000010001111001100111110001100001110101001110001101111010100001000111010111,1111010101111000110101100100101110101011,1
40,0110011011101110011011010000100001101011,00110001010000011011101110111010010000011011011000101100111110110011000110000111010111,0110011011101110011011010000100001101011,1
40,0100101111110010011111100001110101011011,00111010001101111001010110010011100000100101011001110011001010100001000111011011010111,0100101111110010011111100001110101011011,1
40,1000100010110101010011111111100100101001,11111011111110111111011101100001000101100000100101010101011001001110001101001000111011,1000100010110101010011111111100100101001,1
40,0000100110000101001110101101010001011001,00000000111110100001011100111101001000001010100001110110000100101111110111010100111011,0000100110000101001110101101010001011001,1
40,0000000111001010000000111011011111001011,00000000000000110010100100110100111100000000110010101011011011100101100100110111010111,0000000111001010000000111011011111001011,1
40,1010011001110010110011001010010000011110,11110100100000010100001010010011011101010000110100110100100011101100001100100110011100,1010011001110010110011001010010000011110,1
40,0001010001010000000100000000100011101011,00000011110100101111110100101100000000101110110000000000111110111100101010000111010111,0001010001010000000100000000100011101011,1
40,1001100001000000010110111001000101001010,11111000000101110011111011000000001111011101101110100100111011110101001000110100101100,1001100001000000010110111001000101001010,1
40,0100001010011101111000010111100101000010,00111110110011110100100000101010111001100111001111011110001001001101001011001111101100,0100001010011101111000010111100101000010,1
40,0011111010100010110010101000111010000111,00001100100101101000010010111110011101010011010001001011110010101000101100110010100111,0011111010100010110010101000111010000111,1
40,1111011110001100011110010011010011000101,11001001101011100110011111000101111100110110010011100000011000100000010111111101001011,1111011110001100011110010011010011000101,1
40,0100100001000100111001001010011011000100,00111110001110110011111011111110000010100100101000110100100000011011010111111110110000,0100100001000100111001001010011011000100,1
40,0001101011011010000010100110010001101001,00000011000110000111011011011000101100001111010010000001010011101111000110000000111011,0001101011011010000010100110010001101001,1
40,1111110010010001101001000001110111011010,11001001010110010011100011101111000110001000111011000011001010111110101011011000101100,1111110010010001101001000001110111011010,1
40,1000101011110010111001010000101111110010,11011011111101000111100110010011011110100100110100101100111101111001010110010011101100,1000101011110010111001010000101111110010,1
40,1101110100100011100010001110001001000101,11000110111010100010001110111100001001111111101111001010011111111000111011111101001011,1101110100100011100010001110001001000101,1
40,0001111011110010010001111110100110011011,00000011001001101011100110010011100011101111001001010110100010000001010000011011010011,0001111011110010010001111110100110011011,1
40,1100001101001001011110110011101101110100,11000101100011000110001000111000110111100110101101010000101010110110111010100010110000,1100001101001001011110110011101101110100,1
40,1001100011001101011000001100101110000010,11111000000101111100010100000110000111010111000011000101001101111010011100001101101100,1001100011001101011000001100101110000010,1
40,1110110110010101010101010011100000011110,11001010101101100101010011010001000100010001000100100000101001110000001100100110011100,1110110110010101010101010011100000011110,1
40,1101001010010111110110011100011001110011,11010110001000110100100011011110010110101101010000101001111100010100001010010000010111,1101001010010111110110011100011001110011,1
40,0100111001001000101101000011011000010101,00111110000110100100111000111011111101110110001011001100011011010111001111010001001011,0100111001001000101101000011011000010101,1
40,1111010111001110010111001101110101101001,11001001101000011110100100001010010011011110100100000111111010100001110110001000111011,1111010111001110010111001101110101101001,1
40,1101111111010011111010100110001000111100,11000110111001010101101000100000100101111000010010000001011111111011110010011001110000,1101111111010011111010100110001000111100,1
40,1001100011010101110110000000110011100001,11111010000101111100011000010001111010101101011100000000110001010000101001110011111011,1001100011010101110110000000110011100001,1
40,0101110111110000001111001101100100010010,00111101111010101110010110011100000011001001100100000110110101001110111111100011101000,0101110111110000001111001101100100010010,1
40,0100100000001010100100100101110101011100,00111110001110110000000011110100010000001110001110001101111010100001000111101001110000,0100100000001010100100100101110101011100,1
40,0111001010000011011110000001000101001000,00110010100100110100101100001100011011100110011100000011111011111101001000110011000000,0111001010000011011110000001000101001000,1
40,1110101111101111011010001110001000101000,11001010100001111001011010111001101011011000101111001010011111111011111101001011010000,1110101111101111011010001110001000101000,1
40,0011110000111100111010010100011001000001,00001100101110011100110010011001000010101000100011010010111100010100111011000011111011,0011110000111100111010010100011001000001,1
40,0010000010111010100110101010010110111001,00001111101100001111011110101010010010000001100001000100100011011101101110100100111011,0010000010111010100110101010010110111001,1
40,0110001001111110010000000111110000100011,00110001011111111000001001010110010011101100000000110010010110011100111110111100110111,0110001001111110010000000111110000100011,1
40,1110010001011011111010100111111110011111,11001010010011101111110101011011100101101000010010000010010101010110010000100101100111,1110010001011011111010100111111110011111,1
40,1011000100010011101011111101110110110001,11110111010111111110111111100000101010000111100101011010111010101101101111011111111011,1011000100010011101011111101110110110001,1
40,0000000100110111001001100011001001000011,00000000000000111110000001101110100100111000000101111000010100111000111011001100010111,0000000100110111001001100011001001000011,1
40,1001001001000000011000110011110000010010,11111000111000111000111011000000001100010111100001010000100110011100001111100011101100,1001001001000000011000110011110000010010,1
40,0100110100110110010111110101010011000100,00111110000001100010000001101101010011011010010110100001000100100000010111111110110000,0100110100110110010111110101010011000100,1
40,0110000110110011101010110001100010110110,00110001011100100001101101010000101010000100011101011111000101111111011101101101011100,0110000110110011101010110001100010110110,1
40,1010010010111011100101101111111111111110,11110100100011100011011110101011101001001101110110111001000101010101010101010110011100,1010010010111011100101101111111111111110,1
40,0111011011000001011001010110000110111011,00110000101011011011010111000011110111010100110100011101011100110001101110101011010111,0111011011000001011001010110000110111011,1
40,1111111100110001010011100001000110000110,11001001010101011001000001011111110100100000101000110011111011110001011100110001011100,1111111100110001010011100001000110000110,1
40,1000011101011101110110001001011100010010,10111011001100101010000111101010111010101101011111111000110111101001111111100011101100,1000011101011101110110001001011100010010,1
40,1011110101101111001101101110000001011100,10110111100110100001110110111001100100000110110110111010011100000011110111101001110000,1011110101101111001101101110000001011100,1
40,1011000111000010011111010011101001011100,11110111010111110010100111001111100001100101101000100000101010001000110111101001110000,1011000111000010011111010011101001011100,1
40,0000010110110010111111101001001111001101,00000000001111011111101101010011011110010101011010001000111000001001100100000110001011,0000010110110010111111101001001111001101,1
40,1101101111001111001000101001001011101001,11000110110110111001100100001001100100111011111101001000111010110111101010001000111011,1101101111001111001000101001001011101001,1
40,0110110111000100001001101000000011000000,00110001101101101110100111101110110011111000000110001011000000001100010111000000000000,0110110111000100001001101000000011000000,1
40,0100010101110011011101100010101010111001,00111110111111010000111010010000011011101010110101111111010001000100011110100100111011,0100010101110011011101100010101010111001,1
40,0011111010111000001001111011100011011101,00001100100101101000011110100111000011111000101001101011101001111100011011101010001011,0011111010111000001001111011100011011101,1
40,0010101001000110000110010010001110100000,00001111010001001000111011010001011100110001010011100011101111001010100010110000000000,0010101001000110000110010010001110100000,1
40,1100101010100111000111100100000100001110,10000101001101000100010010000010100111110010011001001110110000111110110011001010011100,1100101010100111000111100100000100001110,1
40,0110111001100000101001000111100100011000,00110001101110100100000101110000111100001000111011110010011001001110111100010111000000,0110111001100000101001000111100100011000,1
40,1010000110010110110000110101101010111001,11110100101100110001010011011101101101011100110001100001100110000100011110100100111011,1010000110010110110000110101101010111001,1
40,1100010000000000101111001010011001011110,11000101111111101100000000000000111101111001100100110100100000010100110011100110011100,1100010000000000101111001010011001011110,1
40,1001000011101100100010111011110100010101,11111000110011001100101010110101001110111111011110101011100110100010111111010001001011,1001000011101100100010111011110100010101,1
40,1101010100010001100110001100001001010001,11000110000100010000111111101111000101000001011111000101110011111000110100101111111011,1101010100010001100110001100001001010001,1
40,1110110010000011011100100101101100110101,11001010101101010011101100001100011011101001001110001101110110110101100001100001001011,1110110010000011011100100101101100110101,1
40,1111111000011001000011000110001010000101,11001001010101100111001100010100111011001100011111110001011111110100101100111101001011,1111111000011001000011000110001010000101,1
40,0000100010111001101101110011001110111001,00000000111110111111011110100100000110110110111010010000010100001010101110100100110011,0000100010111001101101110011001110111001,1
40,0000010010001110110000111111011111110010,00000000001111100011101111001010101101111100110010010101101011100101010110010011101100,0000010010001110110000111111011111110010,1
40,1100010000011001110001111110110010101000,11000101111111101100001100010100001010011111001001110110101101010011010001001011000000,1100010000011001110001111110110010101000,1
40,1001110110111010110010000101111101010001,11111000001010101101101110101000011101010011101100111001111001011010000100101111111011,1001110110111010110010000101111101010001,1
40,1010011001011111100010101011010101101100,11110100100000010100110111100101011001111111011001000111011000010001110110110101110000,1010011001011111100010101011010101101100,1
40,0010101101100010011110110100001111000111,00001111010001110110110101101111100000100110101101100010110011001001100111110010100111,0010101101100010011110110100001111000111,1
40,0100100100010001001010010111000111001110,00101110001110001110111111101111111000110100100011011110100111110010100100001010011100,0100100100010001001010010111000111001110,1
40,1101100001000101110100101010110110000011,11000110110101110011111011111101111010100110001101000100011101101101011100001100010111,1101100001000101110100101010110110000011,1
40,1011010101110000011011011101110011001011,11110111011000010001111010011100001100011011011011101010111010010000010000110111010111,1011010101110000011011011101110011001011,1
40,0100010010011100011111011100001110111101,00111110111111100011100000101001111100100101101011101001110010001010101110011010001011,0100010010011100011111011100001110111101,1
40,1001111001011001010011111011111101111101,11111000001001100100110111011100110100100000100101101011100101011010111001011010001011,1001111001011001010011111011111101111101,1
40,0101001011111001000010101110001000010111,00111101000000110111100101100100111011001111010001111010011111111011001111011110100111,0101001011111001000010101110001000010111,1
40,1000100000000111101111011011101101001001,11111011111110110010000000110010011010111001101011011011101010110110001000111000111011,1000100000000111101111011011101101001001,1
40,0001001110100101001110111101000001001010,00000011111000001110100010001101001000001010101110011010001011000011111000110100101100,0001001110100101001110111101000001001010,1
40,0101101110100010000000110010111001000111,10111101110110111010100010111111101100000000110001010011011110100100111011110010100111,0101101110100010000000110010111001000111,1
40,1101110111110100111100100000001011010111,11000110111010101110010110100010000010011001001110110000000001110111011000011110100111,1101110111110100111100100000001011010111,1
40,0011111100110001011110001111101001000110,00001100100101011001000001011111110111100111011111001001011010001000111011110001011100,0011111100110001011110001111101001000110,1
40,0000000110011011001000011000101111010010,00000000000000110001010000011011010100111011001100010111111101111000101000100011101100,0000000110011011001000011000101111010010,1
40,0001001101011101001011011101001100001101,00000011111000000110000111101010001000110111011011101010001000000101110011000110001001,0001001101011101001011011101001100001101,1
40,1110110001111000111011010000011000101000,11001010101101011111001011100111110010101011011000101100001100010111111101001011000000,1110110001111000111011010000011000101000,1
