message,error_bit,codeword,received,decoded,pass
0000000,-1,00000000000000,00000000000000,0000000,1
0000000,0,00000000000000,00000000000001,0000000,1
0000000,1,00000000000000,00000000000010,0000000,1
0000000,2,00000000000000,00000000000100,0000000,1
0000000,3,00000000000000,00000000001000,0000000,1
0000000,4,00000000000000,00000000010000,0000000,1
0000000,5,00000000000000,00000000100000,0000000,1
0000000,6,00000000000000,00000001000000,0000000,1
0000000,7,00000000000000,00000010000000,0000000,1
0000000,8,00000000000000,00000100000000,0000000,1
0000000,9,00000000000000,00001000000000,0000000,1
0000000,10,00000000000000,00010000000000,0000000,1
0000000,11,00000000000000,00100000000000,0000000,1
0000000,12,00000000000000,01000000000000,0000000,1
0000000,13,00000000000000,10000000000000,0000000,1
0000001,-1,00000000000011,00000000000011,0000001,1
0000001,0,00000000000011,00000000000010,0000000,0
0000001,1,00000000000011,00000000000001,0000000,0
0000001,2,00000000000011,00000000000111,0000010,0
0000001,3,00000000000011,00000000001011,0000010,0
0000001,4,00000000000011,00000000010011,0000001,1
0000001,5,00000000000011,00000000100011,0000001,1
0000001,6,00000000000011,00000001000011,0000001,1
0000001,7,00000000000011,00000010000011,0000001,1
0000001,8,00000000000011,00000100000011,0000001,1
0000001,9,00000000000011,00001000000011,0000001,1
0000001,10,00000000000011,00010000000011,0000001,1
0000001,11,00000000000011,00100000000011,0000001,1
0000001,12,00000000000011,01000000000011,0000001,1
0000001,13,00000000000011,10000000000011,0000001,1
0000010,-1,00000000001111,00000000001111,0000010,1
0000010,0,00000000001111,00000000001110,0000010,1
0000010,1,00000000001111,00000000001101,0000010,1
0000010,2,00000000001111,00000000001011,0000010,1
0000010,3,00000000001111,00000000000111,0000010,1
0000010,4,00000000001111,00000000011111,0000010,1
0000010,5,00000000001111,00000000101111,0000010,1
0000010,6,00000000001111,00000001001111,0000010,1
0000010,7,00000000001111,00000010001111,0000010,1
0000010,8,00000000001111,00000100001111,0000010,1
0000010,9,00000000001111,00001000001111,0000010,1
0000010,10,00000000001111,00010000001111,0000010,1
0000010,11,00000000001111,00100000001111,0000010,1
0000010,12,00000000001111,01000000001111,0000010,1
0000010,13,00000000001111,10000000001111,0000010,1
0000011,-1,00000000001100,00000000001100,0000011,1
0000011,0,00000000001100,00000000001101,0000010,0
0000011,1,00000000001100,00000000001110,0000010,0
0000011,2,00000000001100,00000000001000,0000000,0
0000011,3,00000000001100,00000000000100,0000000,0
0000011,4,00000000001100,00000000011100,0000011,1
0000011,5,00000000001100,00000000101100,0000011,1
0000011,6,00000000001100,00000001001100,0000011,1
0000011,7,00000000001100,00000010001100,0000011,1
0000011,8,00000000001100,00000100001100,0000011,1
0000011,9,00000000001100,00001000001100,0000011,1
0000011,10,00000000001100,00010000001100,0000011,1
0000011,11,00000000001100,00100000001100,0000011,1
0000011,12,00000000001100,01000000001100,0000011,1
0000011,13,00000000001100,10000000001100,0000011,1
0000100,-1,00000000111110,00000000111110,0000100,1
0000100,0,00000000111110,00000000111111,0000100,1
0000100,1,00000000111110,00000000111100,0000100,1
0000100,2,00000000111110,00000000111010,0000100,1
0000100,3,00000000111110,00000000110110,0000100,1
0000100,4,00000000111110,00000000101110,0000100,1
0000100,5,00000000111110,00000000011110,0000100,1
0000100,6,00000000111110,00000001111110,0000100,1
0000100,7,00000000111110,00000010111110,0000100,1
0000100,8,00000000111110,00000100111110,0000100,1
0000100,9,00000000111110,00001000111110,0000100,1
0000100,10,00000000111110,00010000111110,0000100,1
0000100,11,00000000111110,00100000111110,0000100,1
0000100,12,00000000111110,01000000111110,0000100,1
0000100,13,00000000111110,10000000111110,0000100,1
0000101,-1,00000000111101,00000000111101,0000101,1
0000101,0,00000000111101,00000000111100,0000100,0
0000101,1,00000000111101,00000000111111,0000100,0
0000101,2,00000000111101,00000000111001,0000110,0
0000101,3,00000000111101,00000000110101,0000110,0
0000101,4,00000000111101,00000000101101,0000101,1
0000101,5,00000000111101,00000000011101,0000101,1
0000101,6,00000000111101,00000001111101,0000101,1
0000101,7,00000000111101,00000010111101,0000101,1
0000101,8,00000000111101,00000100111101,0000101,1
0000101,9,00000000111101,00001000111101,0000101,1
0000101,10,00000000111101,00010000111101,0000101,1
0000101,11,00000000111101,00100000111101,0000101,1
0000101,12,00000000111101,01000000111101,0000101,1
0000101,13,00000000111101,10000000111101,0000101,1
0000110,-1,00000000110001,00000000110001,0000110,1
0000110,0,00000000110001,00000000110000,0000110,1
0000110,1,00000000110001,00000000110011,0000110,1
0000110,2,00000000110001,00000000110101,0000110,1
0000110,3,00000000110001,00000000111001,0000110,1
0000110,4,00000000110001,00000000100001,0000110,1
0000110,5,00000000110001,00000000010001,0000110,1
0000110,6,00000000110001,00000001110001,0000110,1
0000110,7,00000000110001,00000010110001,0000110,1
0000110,8,00000000110001,00000100110001,0000110,1
0000110,9,00000000110001,00001000110001,0000110,1
0000110,10,00000000110001,00010000110001,0000110,1
0000110,11,00000000110001,00100000110001,0000110,1
0000110,12,00000000110001,01000000110001,0000110,1
0000110,13,00000000110001,10000000110001,0000110,1
0000111,-1,00000000110010,00000000110010,0000111,1
0000111,0,00000000110010,00000000110011,0000110,0
0000111,1,00000000110010,00000000110000,0000110,0
0000111,2,00000000110010,00000000110110,0000100,0
0000111,3,00000000110010,00000000111010,0000100,0
0000111,4,00000000110010,00000000100010,0000111,1
0000111,5,00000000110010,00000000010010,0000111,1
0000111,6,00000000110010,00000001110010,0000111,1
0000111,7,00000000110010,00000010110010,0000111,1
0000111,8,00000000110010,00000100110010,0000111,1
0000111,9,00000000110010,00001000110010,0000111,1
0000111,10,00000000110010,00010000110010,0000111,1
0000111,11,00000000110010,00100000110010,0000111,1
0000111,12,00000000110010,01000000110010,0000111,1
0000111,13,00000000110010,10000000110010,0000111,1
0001000,-1,00000011111011,00000011111011,0001000,1
0001000,0,00000011111011,00000011111010,0001000,1
0001000,1,00000011111011,00000011111001,0001000,1
0001000,2,00000011111011,00000011111111,0001000,1
0001000,3,00000011111011,00000011110011,0001000,1
0001000,4,00000011111011,00000011101011,0001000,1
0001000,5,00000011111011,00000011011011,0001000,1
0001000,6,00000011111011,00000010111011,0001000,1
0001000,7,00000011111011,00000001111011,0001000,1
0001000,8,00000011111011,00000111111011,0001000,1
0001000,9,00000011111011,00001011111011,0001000,1
0001000,10,00000011111011,00010011111011,0001000,1
0001000,11,00000011111011,00100011111011,0001000,1
0001000,12,00000011111011,01000011111011,0001000,1
0001000,13,00000011111011,10000011111011,0001000,1
0001001,-1,00000011111000,00000011111000,0001001,1
0001001,0,00000011111000,00000011111001,0001000,0
0001001,1,00000011111000,00000011111010,0001000,0
0001001,2,00000011111000,00000011111100,0001010,0
0001001,3,00000011111000,00000011110000,0001010,0
0001001,4,00000011111000,00000011101000,0001001,1
0001001,5,00000011111000,00000011011000,0001001,1
0001001,6,00000011111000,00000010111000,0001001,1
0001001,7,00000011111000,00000001111000,0001001,1
0001001,8,00000011111000,00000111111000,0001001,1
0001001,9,00000011111000,00001011111000,0001001,1
0001001,10,00000011111000,00010011111000,0001001,1
0001001,11,00000011111000,00100011111000,0001001,1
0001001,12,00000011111000,01000011111000,0001001,1
0001001,13,00000011111000,10000011111000,0001001,1
0001010,-1,00000011110100,00000011110100,0001010,1
0001010,0,00000011110100,00000011110101,0001010,1
0001010,1,00000011110100,00000011110110,0001010,1
0001010,2,00000011110100,00000011110000,0001010,1
0001010,3,00000011110100,00000011111100,0001010,1
0001010,4,00000011110100,00000011100100,0001010,1
0001010,5,00000011110100,00000011010100,0001010,1
0001010,6,00000011110100,00000010110100,0001010,1
0001010,7,00000011110100,00000001110100,0001010,1
0001010,8,00000011110100,00000111110100,0001010,1
0001010,9,00000011110100,00001011110100,0001010,1
0001010,10,00000011110100,00010011110100,0001010,1
0001010,11,00000011110100,00100011110100,0001010,1
0001010,12,00000011110100,01000011110100,0001010,1
0001010,13,00000011110100,10000011110100,0001010,1
0001011,-1,00000011110111,00000011110111,0001011,1
0001011,0,00000011110111,00000011110110,0001010,0
0001011,1,00000011110111,00000011110101,0001010,0
0001011,2,00000011110111,00000011110011,0001000,0
0001011,3,00000011110111,00000011111111,0001000,0
0001011,4,00000011110111,00000011100111,0001011,1
0001011,5,00000011110111,00000011010111,0001011,1
0001011,6,00000011110111,00000010110111,0001011,1
0001011,7,00000011110111,00000001110111,0001011,1
0001011,8,00000011110111,00000111110111,0001011,1
0001011,9,00000011110111,00001011110111,0001011,1
0001011,10,00000011110111,00010011110111,0001011,1
0001011,11,00000011110111,00100011110111,0001011,1
0001011,12,00000011110111,01000011110111,0001011,1
0001011,13,00000011110111,10000011110111,0001011,1
0001100,-1,00000011000101,00000011000101,0001100,1
0001100,0,00000011000101,00000011000100,0001100,1
0001100,1,00000011000101,00000011000111,0001100,1
0001100,2,00000011000101,00000011000001,0001100,1
0001100,3,00000011000101,00000011001101,0001100,1
0001100,4,00000011000101,00000011010101,0001100,1
0001100,5,00000011000101,00000011100101,0001100,1
0001100,6,00000011000101,00000010000101,0001100,1
0001100,7,00000011000101,00000001000101,0001100,1
0001100,8,00000011000101,00000111000101,0001100,1
0001100,9,00000011000101,00001011000101,0001100,1
0001100,10,00000011000101,00010011000101,0001100,1
0001100,11,00000011000101,00100011000101,0001100,1
0001100,12,00000011000101,01000011000101,0001100,1
0001100,13,00000011000101,10000011000101,0001100,1
0001101,-1,00000011000110,00000011000110,0001101,1
0001101,0,00000011000110,00000011000111,0001100,0
0001101,1,00000011000110,00000011000100,0001100,0
0001101,2,00000011000110,00000011000010,0001110,0
0001101,3,00000011000110,00000011001110,0001110,0
0001101,4,00000011000110,00000011010110,0001101,1
0001101,5,00000011000110,00000011100110,0001101,1
0001101,6,00000011000110,00000010000110,0001101,1
0001101,7,00000011000110,00000001000110,0001101,1
0001101,8,00000011000110,00000111000110,0001101,1
0001101,9,00000011000110,00001011000110,0001101,1
0001101,10,00000011000110,00010011000110,0001101,1
0001101,11,00000011000110,00100011000110,0001101,1
0001101,12,00000011000110,01000011000110,0001101,1
0001101,13,00000011000110,10000011000110,0001101,1
0001110,-1,00000011001010,00000011001010,0001110,1
0001110,0,00000011001010,00000011001011,0001110,1
0001110,1,00000011001010,00000011001000,0001110,1
0001110,2,00000011001010,00000011001110,0001110,1
0001110,3,00000011001010,00000011000010,0001110,1
0001110,4,00000011001010,00000011011010,0001110,1
0001110,5,00000011001010,00000011101010,0001110,1
0001110,6,00000011001010,00000010001010,0001110,1
0001110,7,00000011001010,00000001001010,0001110,1
0001110,8,00000011001010,00000111001010,0001110,1
0001110,9,00000011001010,00001011001010,0001110,1
0001110,10,00000011001010,00010011001010,0001110,1
0001110,11,00000011001010,00100011001010,0001110,1
0001110,12,00000011001010,01000011001010,0001110,1
0001110,13,00000011001010,10000011001010,0001110,1
0001111,-1,00000011001001,00000011001001,0001111,1
0001111,0,00000011001001,00000011001000,0001110,0
0001111,1,00000011001001,00000011001011,0001110,0
0001111,2,00000011001001,00000011001101,0001100,0
0001111,3,00000011001001,00000011000001,0001100,0
0001111,4,00000011001001,00000011011001,0001111,1
