message,error_bit,codeword,received,decoded,pass
0000000,-1,00000000000000000000,00000000000000000000,0000000,1
0000000,0,00000000000000000000,00000000000000000001,0000000,1
0000000,1,00000000000000000000,00000000000000000010,0000000,1
0000000,2,00000000000000000000,00000000000000000100,0000000,1
0000000,3,00000000000000000000,00000000000000001000,0000000,1
0000000,4,00000000000000000000,00000000000000010000,0000000,1
0000000,5,00000000000000000000,00000000000000100000,0000000,1
0000000,6,00000000000000000000,00000000000001000000,0000000,1
0000000,7,00000000000000000000,00000000000010000000,0000000,1
0000000,8,00000000000000000000,00000000000100000000,0000000,1
0000000,9,00000000000000000000,00000000001000000000,0000000,1
0000000,10,00000000000000000000,00000000010000000000,0000000,1
0000000,11,00000000000000000000,00000000100000000000,0000000,1
0000000,12,00000000000000000000,00000001000000000000,0000000,1
0000000,13,00000000000000000000,00000010000000000000,0000000,1
0000000,14,00000000000000000000,00000100000000000000,0000000,1
0000000,15,00000000000000000000,00001000000000000000,0000000,1
0000000,16,00000000000000000000,00010000000000000000,0000000,1
0000000,17,00000000000000000000,00100000000000000000,0000000,1
0000000,18,00000000000000000000,01000000000000000000,0000000,1
0000000,19,00000000000000000000,10000000000000000000,0000000,1
0000001,-1,00000000000011111011,00000000000011111011,0000001,1
0000001,0,00000000000011111011,00000000000011111010,0000001,1
0000001,1,00000000000011111011,00000000000011111001,0000001,1
0000001,2,00000000000011111011,00000000000011111111,0000001,1
0000001,3,00000000000011111011,00000000000011110011,0000001,1
0000001,4,00000000000011111011,00000000000011101011,0000001,1
0000001,5,00000000000011111011,00000000000011011011,0000001,1
0000001,6,00000000000011111011,00000000000010111011,0000001,1
0000001,7,00000000000011111011,00000000000001111011,0000001,1
0000001,8,00000000000011111011,00000000000111111011,0000001,1
0000001,9,00000000000011111011,00000000001011111011,0000001,1
0000001,10,00000000000011111011,00000000010011111011,0000001,1
0000001,11,00000000000011111011,00000000100011111011,0000001,1
0000001,12,00000000000011111011,00000001000011111011,0000001,1
0000001,13,00000000000011111011,00000010000011111011,0000001,1
0000001,14,00000000000011111011,00000100000011111011,0000001,1
0000001,15,00000000000011111011,00001000000011111011,0000001,1
0000001,16,00000000000011111011,00010000000011111011,0000001,1
0000001,17,00000000000011111011,00100000000011111011,0000001,1
0000001,18,00000000000011111011,01000000000011111011,0000001,1
0000001,19,00000000000011111011,10000000000011111011,0000001,1
0000010,-1,00000000001111101100,00000000001111101100,0000010,1
0000010,0,00000000001111101100,00000000001111101101,0000010,1
0000010,1,00000000001111101100,00000000001111101110,0000010,1
0000010,2,00000000001111101100,00000000001111101000,0000010,1
0000010,3,00000000001111101100,00000000001111100100,0000010,1
0000010,4,00000000001111101100,00000000001111111100,0000010,1
0000010,5,00000000001111101100,00000000001111001100,0000010,1
0000010,6,00000000001111101100,00000000001110101100,0000010,1
0000010,7,00000000001111101100,00000000001101101100,0000010,1
0000010,8,00000000001111101100,00000000001011101100,0000010,1
0000010,9,00000000001111101100,00000000000111101100,0000010,1
0000010,10,00000000001111101100,00000000011111101100,0000010,1
0000010,11,00000000001111101100,00000000101111101100,0000010,1
0000010,12,00000000001111101100,00000001001111101100,0000010,1
0000010,13,00000000001111101100,00000010001111101100,0000010,1
0000010,14,00000000001111101100,00000100001111101100,0000010,1
0000010,15,00000000001111101100,00001000001111101100,0000010,1
0000010,16,00000000001111101100,00010000001111101100,0000010,1
0000010,17,00000000001111101100,00100000001111101100,0000010,1
0000010,18,00000000001111101100,01000000001111101100,0000010,1
0000010,19,00000000001111101100,10000000001111101100,0000010,1
0000011,-1,00000000001100010111,00000000001100010111,0000011,1
0000011,0,00000000001100010111,00000000001100010110,0000011,1
0000011,1,00000000001100010111,00000000001100010101,0000011,1
0000011,2,00000000001100010111,00000000001100010011,0000011,1
0000011,3,00000000001100010111,00000000001100011111,0000011,1
0000011,4,00000000001100010111,00000000001100000111,0000011,1
0000011,5,00000000001100010111,00000000001100110111,0000011,1
0000011,6,00000000001100010111,00000000001101010111,0000011,1
0000011,7,00000000001100010111,00000000001110010111,0000011,1
0000011,8,00000000001100010111,00000000001000010111,0000011,1
0000011,9,00000000001100010111,00000000000100010111,0000011,1
0000011,10,00000000001100010111,00000000011100010111,0000011,1
0000011,11,00000000001100010111,00000000101100010111,0000011,1
0000011,12,00000000001100010111,00000001001100010111,0000011,1
0000011,13,00000000001100010111,00000010001100010111,0000011,1
0000011,14,00000000001100010111,00000100001100010111,0000011,1
0000011,15,00000000001100010111,00001000001100010111,0000011,1
0000011,16,00000000001100010111,00010000001100010111,0000011,1
0000011,17,00000000001100010111,00100000001100010111,0000011,1
0000011,18,00000000001100010111,01000000001100010111,0000011,1
0000011,19,00000000001100010111,10000000001100010111,0000011,1
0000100,-1,00000000111110110000,00000000111110110000,0000100,1
0000100,0,00000000111110110000,00000000111110110001,0000100,1
0000100,1,00000000111110110000,00000000111110110010,0000100,1
0000100,2,00000000111110110000,00000000111110110100,0000100,1
0000100,3,00000000111110110000,00000000111110111000,0000100,1
0000100,4,00000000111110110000,00000000111110100000,0000100,1
0000100,5,00000000111110110000,00000000111110010000,0000100,1
0000100,6,00000000111110110000,00000000111111110000,0000100,1
0000100,7,00000000111110110000,00000000111100110000,0000100,1
0000100,8,00000000111110110000,00000000111010110000,0000100,1
0000100,9,00000000111110110000,00000000110110110000,0000100,1
0000100,10,00000000111110110000,00000000101110110000,0000100,1
0000100,11,00000000111110110000,00000000011110110000,0000100,1
0000100,12,00000000111110110000,00000001111110110000,0000100,1
0000100,13,00000000111110110000,00000010111110110000,0000100,1
0000100,14,00000000111110110000,00000100111110110000,0000100,1
0000100,15,00000000111110110000,00001000111110110000,0000100,1
0000100,16,00000000111110110000,00010000111110110000,0000100,1
0000100,17,00000000111110110000,00100000111110110000,0000100,1
0000100,18,00000000111110110000,01000000111110110000,0000100,1
0000100,19,00000000111110110000,10000000111110110000,0000100,1
0000101,-1,00000000111101001011,00000000111101001011,0000101,1
0000101,0,00000000111101001011,00000000111101001010,0000101,1
0000101,1,00000000111101001011,00000000111101001001,0000101,1
0000101,2,00000000111101001011,00000000111101001111,0000101,1
0000101,3,00000000111101001011,00000000111101000011,0000101,1
0000101,4,00000000111101001011,00000000111101011011,0000101,1
0000101,5,00000000111101001011,00000000111101101011,0000101,1
0000101,6,00000000111101001011,00000000111100001011,0000101,1
0000101,7,00000000111101001011,00000000111111001011,0000101,1
0000101,8,00000000111101001011,00000000111001001011,0000101,1
0000101,9,00000000111101001011,00000000110101001011,0000101,1
0000101,10,00000000111101001011,00000000101101001011,0000101,1
0000101,11,00000000111101001011,00000000011101001011,0000101,1
0000101,12,00000000111101001011,00000001111101001011,0000101,1
0000101,13,00000000111101001011,00000010111101001011,0000101,1
0000101,14,00000000111101001011,00000100111101001011,0000101,1
0000101,15,00000000111101001011,00001000111101001011,0000101,1
0000101,16,00000000111101001011,00010000111101001011,0000101,1
0000101,17,00000000111101001011,00100000111101001011,0000101,1
0000101,18,00000000111101001011,01000000111101001011,0000101,1
0000101,19,00000000111101001011,10000000111101001011,0000101,1
0000110,-1,00000000110001011100,00000000110001011100,0000110,1
0000110,0,00000000110001011100,00000000110001011101,0000110,1
0000110,1,00000000110001011100,00000000110001011110,0000110,1
0000110,2,00000000110001011100,00000000110001011000,0000110,1
0000110,3,00000000110001011100,00000000110001010100,0000110,1
0000110,4,00000000110001011100,00000000110001001100,0000110,1
0000110,5,00000000110001011100,00000000110001111100,0000110,1
0000110,6,00000000110001011100,00000000110000011100,0000110,1
0000110,7,00000000110001011100,00000000110011011100,0000110,1
0000110,8,00000000110001011100,00000000110101011100,0000110,1
0000110,9,00000000110001011100,00000000111001011100,0000110,1
0000110,10,00000000110001011100,00000000100001011100,0000110,1
0000110,11,00000000110001011100,00000000010001011100,0000110,1
0000110,12,00000000110001011100,00000001110001011100,0000110,1
0000110,13,00000000110001011100,00000010110001011100,0000110,1
0000110,14,00000000110001011100,00000100110001011100,0000110,1
0000110,15,00000000110001011100,00001000110001011100,0000110,1
0000110,16,00000000110001011100,00010000110001011100,0000110,1
0000110,17,00000000110001011100,00100000110001011100,0000110,1
0000110,18,00000000110001011100,01000000110001011100,0000110,1
0000110,19,00000000110001011100,10000000110001011100,0000110,1
0000111,-1,00000000110010100111,00000000110010100111,0000111,1
0000111,0,00000000110010100111,00000000110010100110,0000111,1
0000111,1,00000000110010100111,00000000110010100101,0000111,1
0000111,2,00000000110010100111,00000000110010100011,0000111,1
0000111,3,00000000110010100111,00000000110010101111,0000111,1
0000111,4,00000000110010100111,00000000110010110111,0000111,1
0000111,5,00000000110010100111,00000000110010000111,0000111,1
0000111,6,00000000110010100111,00000000110011100111,0000111,1
0000111,7,00000000110010100111,00000000110000100111,0000111,1
0000111,8,00000000110010100111,00000000110110100111,0000111,1
0000111,9,00000000110010100111,00000000111010100111,0000111,1
0000111,10,00000000110010100111,00000000100010100111,0000111,1
0000111,11,00000000110010100111,00000000010010100111,0000111,1
0000111,12,00000000110010100111,00000001110010100111,0000111,1
0000111,13,00000000110010100111,00000010110010100111,0000111,1
